"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature"
"0.564","0.534","0","-7.238","1","0.0382","0.738","0","0.112","0.437","135.889","197815","4"
"0.505","0.438","6","-7.433","1","0.0299","0.656","0","0.118","0.205","90.146","202867","4"
"0.602","0.478","11","-9.7","0","0.0665","0.515","0.0000108","0.0663","0.342","129.9","232334","4"
"0.597","0.175","2","-17.336","1","0.0597","0.975","0.799","0.553","0.86","111.796","250240","4"
"0.332","0.162","6","-18.148","1","0.0312","0.963","0.279","0.132","0.664","147.347","118933","4"
"0.436","0.21","1","-16.959","0","0.0433","0.858","0.00285","0.322","0.534","125.61","331400","3"
"0.518","0.0249","0","-28.022","0","0.0567","0.826","0.894","0.0637","0.155","58.699","208880","4"
"0.487","0.35","6","-11.519","1","0.0347","0.852","0.00633","0.272","0.653","116.216","152120","4"
"0.29","0.15","3","-14.909","1","0.0446","0.876","0.0028","0.168","0.1","97.598","407320","4"
"0.311","0.204","7","-14.382","0","0.0355","0.837","0.00656","0.0989","0.179","104.41","511360","4"
"0.534","0.127","1","-20.562","1","0.0588","0.948","0.541","0.0957","0.346","110.117","181187","4"
"0.432","0.0629","8","-24.219","0","0.0506","0.916","0.0000496","0.0865","0.653","81.276","96120","4"
"0.088","0.153","5","-18.988","1","0.0375","0.768","0.802","0.185","0.112","67.479","409640","4"
"0.286","0.221","2","-15.677","0","0.0354","0.874","0.467","0.123","0.203","112.612","389467","4"
"0.247","0.132","4","-25.655","0","0.0338","0.891","0.852","0.0565","0.334","67.719","445867","3"
"0.298","0.188","1","-17.934","0","0.0376","0.853","0.319","0.0616","0.331","109.204","160000","4"
"0.248","0.0133","11","-28.458","0","0.0554","0.967","0.00000253","0.0994","0.124","72.61","324760","4"
"0.245","0.124","9","-21.85","0","0.0459","0.956","0.831","0.113","0.379","69.104","134800","3"
"0.228","0.0666","6","-22.092","0","0.0434","0.733","0.0412","0.122","0.0674","136.779","423093","4"
"0.298","0.139","9","-19.633","0","0.0425","0.888","0.00379","0.109","0.079","122.944","211000","4"
"0.303","0.122","5","-23.361","0","0.053","0.944","0.0000852","0.618","0.258","102.093","1078507","4"
"0.134","0.0546","0","-26.69","1","0.0574","0.984","0.0000215","0.111","0.0479","74.341","392880","4"
"0.326","0.0553","0","-23.187","1","0.0556","0.927","0.000151","0.113","0.302","114.03","284693","3"
"0.217","0.0765","11","-23.346","0","0.0367","0.944","0.477","0.111","0.0656","109.365","772907","4"
"0.325","0.112","1","-19.847","0","0.0502","0.751","0.00000107","0.0943","0.255","106.211","102827","3"
"0.201","0.115","8","-15.789","1","0.0406","0.957","0.151","0.108","0.0393","147.055","198693","5"
"0.263","0.106","9","-20.682","0","0.0463","0.986","0","0.19","0.0927","81.217","146267","4"
"0.325","0.126","11","-16.982","0","0.0486","0.988","0.000328","0.108","0.0711","129.107","150373","4"
"0.223","0.176","11","-18.616","1","0.0436","0.602","0.00000125","0.345","0.112","74.856","195680","4"
"0.323","0.116","1","-19.19","1","0.0405","0.95","0.111","0.146","0.282","136.032","184747","4"
